o,p,s
http://www.phenome-fppn.fr/id/species/zeamays,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Species
http://www.phenome-fppn.fr/diaphen/2018/o18000001,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000001,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000001,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg310
http://www.phenome-fppn.fr/diaphen/2018/o18000001,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,1/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000001,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000001,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000002,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000002,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000002,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg152
http://www.phenome-fppn.fr/diaphen/2018/o18000002,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,2/DZ_PG_30/ZM4361/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000002,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000002,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000003,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000003,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000003,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg228
http://www.phenome-fppn.fr/diaphen/2018/o18000003,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,3/DZ_PG_49/ZM4389/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000003,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000003,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000004,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000004,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000004,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg318
http://www.phenome-fppn.fr/diaphen/2018/o18000004,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,4/DZ_PG_66/ZM4391/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000004,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000004,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000005,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000005,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000005,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg119
http://www.phenome-fppn.fr/diaphen/2018/o18000005,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,5/DZ_PG_20/ZM4344/WW/1/DIA2017-05-19
