o,p,s
http://www.phenome-fppn.fr/vocabulary/2017,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Ontology
http://www.phenome-fppn.fr/vocabulary/2017,http://www.w3.org/2000/01/rdf-schema#comment,"Authors : Anne TIREAU, Alexandre MAIRIN, Jonathan MINEAU, Isabelle Nembrot, Morgane Vidal, Pascal NEVEU"
http://www.phenome-fppn.fr/vocabulary/2017,http://www.w3.org/2000/01/rdf-schema#comment,"INRA MISTEA
Copyright © - INRA - 2014 - 2016
The Object Ontology is licensed by CC 4.0 (http://creativecommons.org/licenses/by/4.0/legalcode)"
http://www.phenome-fppn.fr/vocabulary/2017,http://www.w3.org/2000/01/rdf-schema#label,SILEX - scientific object ontology
http://www.phenome-fppn.fr/vocabulary/2017,http://www.w3.org/2002/07/owl#versionIRI,http://www.phenome-fppn.fr/vocabulary/2017
http://www.phenome-fppn.fr/vocabulary/2017,http://www.w3.org/2002/07/owl#versionInfo,Version 2.1 (2016-06-03) created by INRA - MISTEA
http://www.phenome-fppn.fr/vocabulary/2017#Contract,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.phenome-fppn.fr/vocabulary/2017#Contract,http://www.w3.org/2000/01/rdf-schema#label,contract
http://www.phenome-fppn.fr/vocabulary/2017#Contract,http://www.w3.org/2000/01/rdf-schema#label,contrat
http://www.phenome-fppn.fr/vocabulary/2017#Contract,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.phenome-fppn.fr/vocabulary/2017#Document
http://www.phenome-fppn.fr/vocabulary/2017#Document,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.phenome-fppn.fr/vocabulary/2017#Document,http://www.w3.org/2000/01/rdf-schema#label,document
http://www.phenome-fppn.fr/vocabulary/2017#Document,http://www.w3.org/2000/01/rdf-schema#label,document
http://www.phenome-fppn.fr/vocabulary/2017#CultivatedLand,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.phenome-fppn.fr/vocabulary/2017#CultivatedLand,http://www.w3.org/2000/01/rdf-schema#label,Cultivated Land
http://www.phenome-fppn.fr/vocabulary/2017#CultivatedLand,http://www.w3.org/2000/01/rdf-schema#label,Terre cultivée
http://www.phenome-fppn.fr/vocabulary/2017#DataFile,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.phenome-fppn.fr/vocabulary/2017#DataFile,http://www.w3.org/2000/01/rdf-schema#label,data file
http://www.phenome-fppn.fr/vocabulary/2017#DataFile,http://www.w3.org/2000/01/rdf-schema#label,fichier de données
http://www.phenome-fppn.fr/vocabulary/2017#DataFile,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.phenome-fppn.fr/vocabulary/2017#Document
http://www.phenome-fppn.fr/vocabulary/2017#ElaboratedVariable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.phenome-fppn.fr/vocabulary/2017#ElaboratedVariable,http://www.w3.org/2000/01/rdf-schema#label,elaborated variable
http://www.phenome-fppn.fr/vocabulary/2017#ElaboratedVariable,http://www.w3.org/2000/01/rdf-schema#label,variable élaborée
http://www.phenome-fppn.fr/vocabulary/2017#ElaboratedVariable,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.phenome-fppn.fr/vocabulary/2017#Variable
http://www.phenome-fppn.fr/vocabulary/2017#Variable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
